,Type,Expiry,Strike,PV,Bid,Mid,Ask,Diff,BadDiff
0,call,24/01/2020,950,532.2823196,530.6,533.15,535.7,0.867680361,0
1,call,24/01/2020,960,522.2846077,520.6,523.15,525.7,0.865392349,0
2,call,24/01/2020,970,512.2868957,510.6,513.15,515.7,0.863104338,0
3,call,24/01/2020,980,502.2891837,500.6,503.1,505.6,0.810816327,0
4,call,24/01/2020,990,492.2914717,490.6,493.1,495.6,0.808528316,0
5,call,24/01/2020,1000,482.2937597,480.6,483.1,485.6,0.806240305,0
6,call,24/01/2020,1005,477.2949037,475.6,478.1,480.6,0.805096299,0
7,call,24/01/2020,1010,472.2960477,470.6,473.1,475.6,0.803952293,0
8,call,24/01/2020,1015,467.2971917,465.8,468.2,470.6,0.902808288,0
9,call,24/01/2020,1020,462.2983357,460.8,463.2,465.6,0.901664282,0
10,call,24/01/2020,1025,457.2994797,455.8,458.2,460.6,0.900520277,0
11,call,24/01/2020,1030,452.3006237,450.8,453.2,455.6,0.899376271,0
12,call,24/01/2020,1035,447.3017677,445.8,448.2,450.6,0.898232265,0
13,call,24/01/2020,1040,442.3029117,440.8,443.2,445.6,0.89708826,0
14,call,24/01/2020,1045,437.3040557,435.8,438.2,440.6,0.895944254,0
15,call,24/01/2020,1050,432.3051998,430.6,433.15,435.7,0.844800249,0
16,call,24/01/2020,1055,427.3063438,425.6,428.15,430.7,0.843656243,0
17,call,24/01/2020,1060,422.3074878,420.6,423.15,425.7,0.842512237,0
18,call,24/01/2020,1065,417.3086318,415.6,418.15,420.7,0.841368232,0
19,call,24/01/2020,1070,412.3097758,410.6,413.1,415.6,0.790224226,0
20,call,24/01/2020,1075,407.3109198,405.6,408.1,410.6,0.78908022,0
21,call,24/01/2020,1080,402.3120638,400.6,403.1,405.6,0.787936215,0
22,call,24/01/2020,1085,397.3132078,395.6,398.1,400.6,0.786792209,0
23,call,24/01/2020,1090,392.3143518,390.9,393.3,395.7,0.985648204,0
24,call,24/01/2020,1095,387.3154958,385.9,388.3,390.7,0.984504198,0
25,call,24/01/2020,1100,382.3166398,380.9,383.3,385.7,0.983360192,0
26,call,24/01/2020,1105,377.3177838,375.9,378.3,380.7,0.982216187,0
27,call,24/01/2020,1110,372.3189278,370.9,373.3,375.7,0.981072181,0
28,call,24/01/2020,1115,367.3200718,365.9,368.3,370.7,0.979928176,0
29,call,24/01/2020,1120,362.3212158,360.9,363.3,365.7,0.97878417,0
30,call,24/01/2020,1125,357.3223598,356.1,358.2,360.3,0.877640164,0
31,call,24/01/2020,1130,352.3235038,350.9,353.1,355.3,0.776496159,0
32,call,24/01/2020,1135,347.3246478,345.9,348.1,350.3,0.775352153,0
33,call,24/01/2020,1140,342.3257919,340.9,343.1,345.3,0.774208148,0
34,call,24/01/2020,1145,337.3269359,336.1,338.2,340.3,0.873064142,0
35,call,24/01/2020,1150,332.3280799,331.1,333.2,335.3,0.871920136,0
36,call,24/01/2020,1155,327.3292239,326.1,328.2,330.3,0.870776131,0
37,call,24/01/2020,1160,322.3303679,321.1,323.2,325.3,0.869632125,0
38,call,24/01/2020,1165,317.3315119,316.1,318.2,320.3,0.868488119,0
39,call,24/01/2020,1170,312.3326559,311.1,313.2,315.3,0.867344114,0
40,call,24/01/2020,1175,307.3337999,306.1,308.2,310.3,0.866200108,0
