,Type,Expiry,Strike,PV,Bid,Mid,Ask,Diff,BadDiff
0,put,2020-01-24,950.0,2.7912625351956534e-30,0.0,0.225,0.45,0.225,0
1,put,2020-01-24,960.0,6.739146677610968e-30,0.0,0.225,0.45,0.225,0
2,put,2020-01-24,970.0,1.1950556930424037e-28,0.0,0.225,0.45,0.225,0
3,put,2020-01-24,980.0,3.77009591531431e-28,0.0,0.225,0.45,0.225,0
4,put,2020-01-24,990.0,3.412667824308819e-27,0.0,0.225,0.45,0.225,0
5,put,2020-01-24,1000.0,1.8823477353638716e-26,0.0,0.225,0.45,0.225,0
6,put,2020-01-24,1005.0,2.652889235411989e-26,0.0,0.225,0.45,0.225,0
7,put,2020-01-24,1010.0,3.4234311818221146e-26,0.0,0.225,0.45,0.225,0
8,put,2020-01-24,1015.0,4.051262373632992e-25,0.0,0.225,0.45,0.225,0
9,put,2020-01-24,1020.0,8.278988847013048e-25,0.0,0.25,0.5,0.25,0
10,put,2020-01-24,1025.0,1.2506720061615222e-24,0.0,0.25,0.5,0.25,0
11,put,2020-01-24,1030.0,1.6734456843568626e-24,0.0,0.25,0.5,0.25,0
12,put,2020-01-24,1035.0,1.0077953382781777e-23,0.0,0.25,0.5,0.25,0
13,put,2020-01-24,1040.0,3.132224229152903e-23,0.0,0.25,0.5,0.25,0
14,put,2020-01-24,1045.0,5.256655438642753e-23,0.0,0.25,0.5,0.25,0
15,put,2020-01-24,1050.0,7.381090391028619e-23,0.0,0.25,0.5,0.25,0
16,put,2020-01-24,1055.0,9.505528505800348e-23,0.0,0.25,0.5,0.25,0
17,put,2020-01-24,1060.0,9.680378922433256e-22,0.0,0.25,0.5,0.25,0
18,put,2020-01-24,1065.0,1.9444950016324826e-21,0.0,0.25,0.5,0.25,0
19,put,2020-01-24,1070.0,2.920953837152236e-21,0.0,0.25,0.5,0.25,0
20,put,2020-01-24,1075.0,3.897415271483507e-21,0.0,0.25,0.5,0.25,0
21,put,2020-01-24,1080.0,2.0879538002519812e-20,0.0,0.25,0.5,0.25,0
22,put,2020-01-24,1085.0,6.18693166495469e-20,0.0,0.25,0.5,0.25,0
23,put,2020-01-24,1090.0,1.0285915961405406e-19,0.0,0.25,0.5,0.25,0
24,put,2020-01-24,1095.0,1.4384912404373575e-19,0.0,0.25,0.5,0.25,0
25,put,2020-01-24,1100.0,1.8483922913409632e-19,0.0,0.25,0.5,0.25,0
26,put,2020-01-24,1105.0,1.613441092265956e-18,0.0,0.25,0.5,0.25,0
27,put,2020-01-24,1110.0,3.1820637029609674e-18,0.0,0.25,0.5,0.25,0
28,put,2020-01-24,1115.0,4.750690449913898e-18,0.0,0.25,0.5,0.25,0
29,put,2020-01-24,1120.0,6.319324955083502e-18,0.0,0.225,0.45,0.225,0
30,put,2020-01-24,1125.0,2.998747059681458e-17,0.0,0.225,0.45,0.22499999999999998,0
31,put,2020-01-24,1130.0,8.459371832351757e-17,0.0,0.375,0.75,0.3749999999999999,0
32,put,2020-01-24,1135.0,1.3920008518504474e-16,0.0,0.375,0.75,0.37499999999999983,0
33,put,2020-01-24,1140.0,1.9380670782498255e-16,0.0,0.375,0.75,0.37499999999999983,0
34,put,2020-01-24,1145.0,2.484137285272345e-16,0.0,0.375,0.75,0.3749999999999998,0
35,put,2020-01-24,1150.0,1.847976272388303e-15,0.0,0.375,0.75,0.37499999999999817,0
36,put,2020-01-24,1155.0,3.572789362478636e-15,0.0,0.025,0.05,0.024999999999996428,0
37,put,2020-01-24,1160.0,5.297608961140089e-15,0.0,0.375,0.75,0.3749999999999947,0
38,put,2020-01-24,1165.0,7.022443433444493e-15,0.0,0.375,0.75,0.37499999999999295,0
39,put,2020-01-24,1170.0,2.935713463443927e-14,0.0,0.375,0.75,0.37499999999997063,0
40,put,2020-01-24,1175.0,7.864197164407251e-14,0.0,0.375,0.75,0.37499999999992134,0
